Gene stable ID	Gene name
RNAi_Expression_Cassette	RNAi_Expression_Cassette
Pri_miRNA	Pri_miRNA
miS1	miS1
Cap1	Cap1
Rep2	Rep2
GpKFBextmU6miS1newStfr	GpKFBextmU6miS1newStfr
ENSMMUG00000023296	PGBD2
ENSMMUG00000036181	U6
ENSMMUG00000000634	ZNF692
ENSMMUG00000037875	ZNF672
ENSMMUG00000000632	SH3BP5L
ENSMMUG00000064799	
ENSMMUG00000057389	LYPD8
ENSMMUG00000031200	
ENSMMUG00000052613	
ENSMMUG00000031199	OR2T27
ENSMMUG00000053841	
ENSMMUG00000017095	
ENSMMUG00000025700	Y_RNA
ENSMMUG00000049101	OR2T10
ENSMMUG00000048289	
ENSMMUG00000017368	
ENSMMUG00000055842	OR14I1
ENSMMUG00000031198	
ENSMMUG00000062331	OR9G1
ENSMMUG00000049901	
ENSMMUG00000064657	
ENSMMUG00000005566	OR2T1
ENSMMUG00000064874	OR2T6
ENSMMUG00000039595	
ENSMMUG00000038524	OR2M4
ENSMMUG00000049432	
ENSMMUG00000050812	
ENSMMUG00000059065	
ENSMMUG00000064763	
ENSMMUG00000053957	
ENSMMUG00000062908	Y_RNA
ENSMMUG00000057748	OR2L2
ENSMMUG00000051218	Y_RNA
ENSMMUG00000050041	OR2L5
ENSMMUG00000052261	
ENSMMUG00000054556	Y_RNA
ENSMMUG00000060886	
ENSMMUG00000062168	
ENSMMUG00000059751	Y_RNA
ENSMMUG00000018891	
ENSMMUG00000056262	
ENSMMUG00000038159	OR2W3
ENSMMUG00000005570	TRIM58
ENSMMUG00000006214	OR11L1
ENSMMUG00000056211	
ENSMMUG00000049478	OR9H1P
ENSMMUG00000062849	OR1C1
ENSMMUG00000064145	OR14K1
ENSMMUG00000059455	OR14A2
ENSMMUG00000016175	OR6F1
ENSMMUG00000016176	OR13G1
ENSMMUG00000058340	
ENSMMUG00000005955	GCSAML
ENSMMUG00000012954	
ENSMMUG00000060427	
ENSMMUG00000005949	OR2B11
ENSMMUG00000005946	NLRP3
ENSMMUG00000052686	
ENSMMUG00000019585	ZNF496
ENSMMUG00000064912	Y_RNA
ENSMMUG00000021266	
ENSMMUG00000058602	
ENSMMUG00000059322	
ENSMMUG00000004566	ZNF124
ENSMMUG00000058214	
ENSMMUG00000023311	
ENSMMUG00000050290	ZNF670
ENSMMUG00000054567	
ENSMMUG00000031191	
ENSMMUG00000061999	Metazoa_SRP
ENSMMUG00000016408	AHCTF1
ENSMMUG00000049281	
ENSMMUG00000053269	
ENSMMUG00000022208	SCCPDH
ENSMMUG00000056452	
ENSMMUG00000050866	
ENSMMUG00000057881	5S_rRNA
ENSMMUG00000062560	U6
ENSMMUG00000064226	
ENSMMUG00000061675	5S_rRNA
